date,brick_low,brick_high,direction,trend
2017-05-20,457.3340148925781,2055.1573655870225,up,1
2017-08-12,2055.1573655870225,3652.980716281467,up,2
2017-10-12,3652.980716281467,5250.804066975911,up,3
2017-11-02,5250.804066975911,6848.6274176703555,up,4
2017-11-25,6848.627417670356,8446.4507683648,up,5
2017-11-28,8446.4507683648,10044.274119059246,up,6
2017-12-04,10044.274119059246,11642.097469753691,up,7
2017-12-06,11642.097469753691,13239.920820448137,up,8
2017-12-07,13239.920820448137,14837.744171142582,up,9
2017-12-07,14837.744171142582,16435.567521837027,up,10
2017-12-16,16435.567521837027,18033.390872531472,up,11
2017-12-22,14837.744171142582,16435.567521837027,down,1
2017-12-30,13239.920820448137,14837.744171142582,down,2
2018-01-05,14837.744171142582,16435.567521837027,up,10
2018-01-16,13239.920820448137,14837.744171142582,down,1
2018-01-16,11642.097469753691,13239.920820448137,down,2
2018-02-01,10044.274119059246,11642.097469753691,down,3
2018-02-04,8446.4507683648,10044.274119059246,down,4
2018-04-01,6848.627417670356,8446.4507683648,down,5
2018-11-19,5250.804066975912,6848.627417670356,down,6
2018-12-06,3652.9807162814677,5250.804066975912,down,7
2019-05-11,5250.804066975912,6848.627417670356,up,1
2019-05-26,6848.627417670356,8446.4507683648,up,2
2019-06-21,8446.4507683648,10044.274119059246,up,3
2019-06-25,10044.274119059246,11642.097469753691,up,4
2019-09-26,8446.4507683648,10044.274119059246,down,1
2019-12-17,6848.627417670356,8446.4507683648,down,2
2020-02-09,8446.4507683648,10044.274119059246,up,1
2020-03-12,6848.627417670356,8446.4507683648,down,1
2020-03-12,5250.804066975912,6848.627417670356,down,2
2020-04-29,6848.627417670356,8446.4507683648,up,1
2020-06-01,8446.4507683648,10044.274119059246,up,2
2020-08-01,10044.274119059246,11642.097469753691,up,3
2020-10-27,11642.097469753691,13239.920820448137,up,4
2020-11-05,13239.920820448137,14837.744171142582,up,5
2020-11-16,14837.744171142582,16435.567521837027,up,6
2020-11-20,16435.567521837027,18033.390872531472,up,7
2020-12-16,18033.390872531472,19631.214223225918,up,8
2020-12-16,19631.214223225918,21229.037573920363,up,9
2020-12-18,21229.037573920363,22826.860924614808,up,10
2020-12-25,22826.860924614808,24424.684275309253,up,11
2020-12-26,24424.684275309253,26022.5076260037,up,12
2020-12-30,26022.5076260037,27620.330976698144,up,13
2021-01-01,27620.330976698144,29218.15432739259,up,14
2021-01-02,29218.15432739259,30815.977678087034,up,15
2021-01-03,30815.977678087034,32413.80102878148,up,16
2021-01-06,32413.801028781476,34011.62437947592,up,17
2021-01-06,34011.62437947592,35609.44773017037,up,18
2021-01-07,35609.44773017037,37207.27108086481,up,19
2021-01-07,37207.27108086481,38805.09443155926,up,20
2021-01-08,38805.09443155926,40402.9177822537,up,21
2021-01-11,37207.27108086481,38805.09443155926,down,1
2021-01-11,35609.44773017037,37207.27108086481,down,2
2021-01-12,34011.62437947592,35609.44773017037,down,3
2021-01-13,35609.44773017037,37207.27108086481,up,1
2021-01-14,37207.27108086481,38805.09443155926,up,2
2021-01-20,35609.44773017037,37207.27108086481,down,1
2021-01-21,34011.62437947592,35609.44773017037,down,2
2021-01-21,32413.801028781476,34011.62437947592,down,3
2021-01-27,30815.97767808703,32413.801028781476,down,4
2021-01-29,32413.801028781476,34011.62437947592,up,1
2021-02-03,34011.62437947592,35609.44773017037,up,2
2021-02-03,35609.44773017037,37207.27108086481,up,3
2021-02-06,37207.27108086481,38805.09443155926,up,4
2021-02-08,38805.09443155926,40402.9177822537,up,5
2021-02-08,40402.9177822537,42000.74113294815,up,6
2021-02-08,42000.74113294815,43598.56448364259,up,7
2021-02-08,43598.56448364259,45196.38783433704,up,8
2021-02-11,45196.38783433704,46794.21118503148,up,9
2021-02-14,46794.21118503148,48392.03453572593,up,10
2021-02-17,48392.03453572593,49989.857886420374,up,11
2021-02-17,49989.857886420374,51587.68123711482,up,12
2021-02-19,51587.68123711482,53185.504587809264,up,13
2021-02-19,53185.504587809264,54783.32793850371,up,14
2021-02-21,54783.32793850371,56381.151289198155,up,15
2021-02-23,53185.504587809264,54783.32793850371,down,1
2021-02-23,51587.68123711482,53185.504587809264,down,2
2021-02-23,49989.857886420374,51587.68123711482,down,3
2021-02-25,48392.03453572593,49989.857886420374,down,4
2021-02-26,46794.21118503148,48392.03453572593,down,5
2021-02-28,45196.38783433704,46794.21118503148,down,6
2021-03-01,46794.21118503148,48392.03453572593,up,1
2021-03-03,48392.03453572593,49989.857886420374,up,2
2021-03-08,49989.857886420374,51587.68123711482,up,3
2021-03-09,51587.68123711482,53185.504587809264,up,4
2021-03-09,53185.504587809264,54783.32793850371,up,5
2021-03-11,54783.32793850371,56381.151289198155,up,6
2021-03-13,56381.151289198155,57978.9746398926,up,7
2021-03-13,57978.9746398926,59576.797990587045,up,8
2021-03-13,59576.797990587045,61174.62134128149,up,9
2021-03-15,57978.9746398926,59576.797990587045,down,1
2021-03-15,56381.151289198155,57978.9746398926,down,2
2021-03-22,54783.32793850371,56381.151289198155,down,3
2021-03-24,53185.504587809264,54783.32793850371,down,4
2021-03-29,54783.32793850371,56381.151289198155,up,1
2021-03-30,56381.151289198155,57978.9746398926,up,2
2021-04-10,57978.9746398926,59576.797990587045,up,3
2021-04-13,59576.797990587045,61174.62134128149,up,4
2021-04-13,61174.62134128149,62772.444691975936,up,5
2021-04-18,59576.797990587045,61174.62134128149,down,1
2021-04-18,57978.9746398926,59576.797990587045,down,2
2021-04-18,56381.151289198155,57978.9746398926,down,3
2021-04-21,54783.32793850371,56381.151289198155,down,4
2021-04-22,53185.504587809264,54783.32793850371,down,5
2021-04-23,51587.68123711482,53185.504587809264,down,6
2021-04-25,49989.857886420374,51587.68123711482,down,7
2021-04-26,51587.68123711482,53185.504587809264,up,1
2021-04-27,53185.504587809264,54783.32793850371,up,2
