date,brick_low,brick_high,direction,trend
2017-11-23,320.8840026855469,385.03482733832465,up,1
2017-11-24,385.03482733832465,449.1856519911024,up,2
2017-12-11,449.18565199110236,513.3364766438801,up,3
2017-12-12,513.3364766438801,577.487301296658,up,4
2017-12-12,577.487301296658,641.6381259494358,up,5
2017-12-17,641.6381259494358,705.7889506022136,up,6
2017-12-18,705.7889506022136,769.9397752549914,up,7
2018-01-02,769.9397752549914,834.0905999077693,up,8
2018-01-03,834.0905999077693,898.2414245605471,up,9
2018-01-03,898.2414245605471,962.3922492133249,up,10
2018-01-06,962.3922492133249,1026.5430738661028,up,11
2018-01-07,1026.5430738661028,1090.6938985188806,up,12
2018-01-09,1090.6938985188806,1154.8447231716584,up,13
2018-01-09,1154.8447231716584,1218.9955478244362,up,14
2018-01-09,1218.9955478244362,1283.146372477214,up,15
2018-01-13,1283.146372477214,1347.297197129992,up,16
2018-01-16,1218.9955478244362,1283.146372477214,down,1
2018-01-16,1154.8447231716584,1218.9955478244362,down,2
2018-01-16,1090.6938985188806,1154.8447231716584,down,3
2018-01-17,1026.5430738661028,1090.6938985188806,down,4
2018-01-20,1090.6938985188806,1154.8447231716584,up,1
2018-01-22,1026.5430738661028,1090.6938985188806,down,4
2018-01-28,1090.6938985188806,1154.8447231716584,up,1
2018-01-28,1154.8447231716584,1218.9955478244362,up,2
2018-01-30,1090.6938985188806,1154.8447231716584,down,1
2018-02-02,1026.5430738661028,1090.6938985188806,down,2
2018-02-02,962.3922492133249,1026.5430738661028,down,3
2018-02-04,898.2414245605471,962.3922492133249,down,4
2018-02-05,834.0905999077693,898.2414245605471,down,5
2018-02-05,769.9397752549914,834.0905999077693,down,6
2018-02-05,705.7889506022136,769.9397752549914,down,7
2018-02-09,769.9397752549914,834.0905999077693,up,1
2018-02-14,834.0905999077693,898.2414245605471,up,2
2018-02-17,898.2414245605471,962.3922492133249,up,3
2018-02-22,834.0905999077693,898.2414245605471,down,1
2018-03-07,769.9397752549914,834.0905999077693,down,2
2018-03-08,705.7889506022136,769.9397752549914,down,3
2018-03-14,641.6381259494358,705.7889506022136,down,4
