date,sma_3,sma_5,sma_8,sma_10,sma_12,sma_15,sma_30,sma_35,sma_40,sma_45,sma_50,sma_60,ema_3,ema_5,ema_8,ema_10,ema_12,ema_15,ema_30,ema_35,ema_40,ema_45,ema_50,ema_60
2017-05-08,,,,,,,,,,,,,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878,1670.7582634819878
2017-08-05,,,,,,,,,,,,,2548.1277657968026,2460.390815565321,2411.0387810601133,2394.58810289171,2383.6209841127743,2372.65386533384,2350.7196277759695,2347.5861652677017,2345.2360683865018,2343.4082152566793,2341.945932752821,2339.752508997034
2017-08-14,2986.8125169542095,,,,,,,,,,,,3550.835768442305,3333.142583657426,3205.018403540278,3161.7034476481927,3132.7030577548253,3103.622066078963,3045.282161684557,3036.9342785119106,3030.6718547079195,3025.800299315138,3021.9026183666147,3016.055459351518
2017-10-13,4302.866770426432,,,,,,,,,,,,4653.814571352357,4282.619781911474,4051.044850771652,3971.247159031699,3917.5049071252265,3863.4055860811354,3754.4134541764197,3738.7821787261028,3727.051933525044,3717.924898547509,3710.6213079152567,3699.6630552814377
2017-11-02,5618.921023898653,4302.866770426432,,,,,,,,,,,5831.187838974819,5300.822602443282,4946.905251743079,4822.0528957938,4737.340822352308,4651.648769811652,4478.068273556452,4453.101338216372,4434.357174530343,4419.768567979135,4408.092195238814,4390.569618325125
2017-11-22,6934.975277370878,5618.921023898654,,,,,,,,,,,7060.313777701565,6378.86814169314,5889.9164001295985,5712.676571004788,5591.352032991622,5467.901988106253,5216.188710144745,5179.855192309026,5152.563040068783,5131.314053686805,5114.302691606852,5088.767855322782
2017-11-27,8251.0295308431,6934.975277370877,,,,,,,,,,,8323.567954262828,7507.673000105753,6877.027921758767,6641.433874151144,6478.522663275524,6311.627113152817,5968.704358204785,5918.999223980235,5881.639628698259,5852.540317030124,5829.237440051542,5794.248864189605
2017-12-01,9567.083784315322,8251.0295308431,6276.948150634766,,,,,,,,,,9608.371760894845,8678.512339901166,7904.931017712625,7606.442013307109,7397.698003131905,7182.203937456984,6735.5325360046745,6670.481066506811,6621.551728120332,6583.422564131399,6552.878332820611,6507.002140953551
2017-12-06,10883.138037787545,9567.083784315322,7593.002404106988,,,,,,,,,,10906.317075519933,9883.414596479528,8970.165855898587,8605.663753859739,8347.604472785415,8078.937389861377,7516.578542669967,7434.24062367589,7372.258877298163,7323.9322805232605,7285.204531911317,7227.015588046857
2017-12-06,12199.192291259767,10883.138037787545,8909.05665757921,7593.002404106989,,,,,,,,,12212.056946718929,11115.3895768751,10069.22172066322,9636.95188661513,9326.87063704414,9001.065388851268,8311.7359502748,8210.210207015334,8133.71543754766,8074.037270869418,8026.192492639941,7954.275523838509
2017-12-07,13515.24654473199,12199.192291259767,10225.110911051434,8909.05665757921,,,,,,,,,13522.318648683233,12368.514047650277,11198.62546811042,10698.09242980523,10334.048635350937,9947.767166083486,9120.886929421102,8998.3146894346,8905.870672358216,8833.701703650484,8775.815990194684,8688.766693392965
2017-12-07,14831.300798204213,13515.24654473199,11541.165164523656,10225.110911051434,8909.05665757921,,,,,,,,14835.157367445156,13637.911401072082,12355.015432801783,11786.845128397714,11367.635431904993,10918.171891272805,9943.90260637574,9798.471674598139,9688.668835671115,9602.886160693937,9534.046149113517,9430.472280438582
2017-12-07,16147.355051676435,14831.300798204213,12857.219417995879,11541.165164523656,10225.110911051434,,,,,,,,16149.443771648981,14919.663306583265,13535.199476228028,12900.980127752104,12426.093351598169,11911.367432957744,10780.643449673795,10610.591681290514,10482.049268316869,10381.547691414806,10300.851475622365,10179.37392052744
2017-12-16,17463.409305148656,16147.355051676434,14173.273671468101,12857.219417995879,11541.165164523656,,,,,,,,17464.53393186834,16210.685771771523,14736.197201469662,14038.310034685603,13507.869446128105,12926.409097729931,11630.959683954155,11434.578341974739,11285.946502287585,11169.639871621892,11076.197892763043,10935.451715366424
2017-12-21,17463.409305148656,16673.776753065325,14995.807579888238,13778.457395426434,12528.205854627822,10619.927187093099,,,,,,,16805.924392604316,16189.5272128219,15057.189467506567,14441.653016288741,13950.028471474116,13391.828103393897,12091.817220362242,11889.34476009643,11735.327989031664,11614.368497749516,11516.921923502992,11369.71650589962
2017-12-22,16586.039802833842,16673.776753065322,15489.327924940322,14436.484522162544,13295.904169153284,11497.296689407916,,,,,,,15818.597529991932,15736.0947514253,15006.075279693297,14515.475099420551,14095.665671906303,13595.850523017127,12361.24658215873,12162.067665167637,12009.54346894212,11889.177564110549,11791.855678532085,11644.267308143819
2017-12-30,14831.30079820421,16147.355051676434,15653.83470662435,14831.300798204209,13844.260108100045,12199.192291259767,,,,,,,14666.913250708218,14995.059895696588,14670.093383585427,14327.41017605955,14000.829084392322,13584.614217614706,12471.028568013335,12283.016277892337,12137.802524518254,12022.493553636177,11928.823636244102,11786.064112567454
